trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 0.8, 'e': 0.46067858741136253}",25,18,10.884436313074099,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.31574375491924334}",25,9,-57.829010356989755,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
22,False,"{'a': 0.8, 'e': 0.90064017238477}",20,0,-95.3812347287415,"{0: 14, 1: 2, 2: 0, 3: 3, 4: 1}",0
23,False,"{'a': 0.8, 'e': 0.9392203466968696}",20,0,-41.65258773590868,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.40808206181339196}",20,14,0.8806406408683429,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.8, 'e': 0.37059332583764143}",25,14,19.211045473809367,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.9244717749141217}",25,0,-125.0441989387874,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.9175780505318598}",20,2,-83.00175580909718,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
28,False,"{'a': 0.8, 'e': 0.35409379339635566}",20,8,10.683012047588571,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.4241790073369969}",20,0,-15.459552315239153,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.8, 'e': 0.9451505141481711}",20,0,-71.47863204367101,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
31,False,"{'a': 0.8, 'e': 0.8928064017629097}",20,0,-123.74065055142628,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.8, 'e': 0.2988979063644682}",20,7,0.10883789049481929,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
